Retailer_ID,Inventory_Frequency,Reason_Unavailability,Customer_Loss_Percentage,Decline_in_Repeat_Customers,Offer_Alternatives,Interest_in_System
R251,Rarely,Insufficient demand forecasting,<10%,Yes,No,Yes
R252,Weekly,Manufacturer limitations,26-50%,Yes,No,Yes
R253,Weekly,Manufacturer limitations,26-50%,Yes,No,Yes
R254,Weekly,Insufficient demand forecasting,>50%,Yes,"Yes, suggest similar models",Yes
R255,Daily,Supply chain delays,>50%,No,"Yes, provide an option to order",No
R256,Daily,Supply chain delays,26-50%,No,"Yes, suggest similar models",No
R257,Monthly,Supply chain delays,>50%,No,No,No
R258,Daily,Other,26-50%,Yes,"Yes, provide an option to order",Yes
R259,Weekly,Supply chain delays,26-50%,Yes,"Yes, provide an option to order",No
R260,Daily,Manufacturer limitations,26-50%,No,"Yes, suggest similar models",No
R261,Daily,Manufacturer limitations,26-50%,Yes,"Yes, suggest similar models",Yes
R262,Rarely,Insufficient demand forecasting,>50%,Yes,"Yes, provide an option to order",Yes
R263,Rarely,Supply chain delays,10-25%,Yes,"Yes, provide an option to order",Yes
R264,Daily,Supply chain delays,26-50%,No,"Yes, suggest similar models",Yes
R265,Weekly,Supply chain delays,<10%,No,No,No
R266,Weekly,Other,26-50%,Yes,"Yes, suggest similar models",Yes
R267,Weekly,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R268,Daily,Supply chain delays,26-50%,No,"Yes, suggest similar models",No
R269,Weekly,Manufacturer limitations,10-25%,No,"Yes, provide an option to order",Yes
R270,Weekly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R271,Daily,Manufacturer limitations,<10%,No,"Yes, suggest similar models",Yes
R272,Daily,Supply chain delays,<10%,No,"Yes, provide an option to order",Yes
R273,Monthly,Supply chain delays,10-25%,No,No,Yes
R274,Rarely,Supply chain delays,10-25%,Yes,No,Yes
R275,Daily,Manufacturer limitations,10-25%,No,No,Yes
R276,Weekly,Supply chain delays,10-25%,No,"Yes, provide an option to order",No
R277,Weekly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R278,Rarely,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R279,Weekly,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",No
R280,Daily,Supply chain delays,>50%,No,"Yes, suggest similar models",Yes
R281,Weekly,Other,10-25%,Yes,No,Yes
R282,Daily,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R283,Monthly,Manufacturer limitations,<10%,No,"Yes, suggest similar models",Yes
R284,Daily,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R285,Weekly,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",Yes
R286,Weekly,Manufacturer limitations,26-50%,Yes,No,No
R287,Rarely,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R288,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R289,Weekly,Manufacturer limitations,26-50%,No,"Yes, provide an option to order",Yes
R290,Weekly,Manufacturer limitations,10-25%,No,No,Yes
R291,Daily,Other,26-50%,No,"Yes, suggest similar models",Yes
R292,Monthly,Insufficient demand forecasting,26-50%,Yes,"Yes, suggest similar models",No
R293,Weekly,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",Yes
R294,Weekly,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R295,Weekly,Supply chain delays,<10%,No,"Yes, suggest similar models",Yes
R296,Weekly,Other,<10%,No,"Yes, suggest similar models",Yes
R297,Rarely,Supply chain delays,<10%,Yes,"Yes, provide an option to order",No
R298,Weekly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R299,Weekly,Manufacturer limitations,<10%,Yes,"Yes, provide an option to order",Yes
R300,Monthly,Manufacturer limitations,26-50%,No,"Yes, provide an option to order",Yes
R301,Daily,Other,<10%,No,"Yes, suggest similar models",Yes
R302,Weekly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R303,Daily,Manufacturer limitations,26-50%,Yes,"Yes, suggest similar models",Yes
R304,Monthly,Insufficient demand forecasting,>50%,No,"Yes, provide an option to order",Yes
R305,Daily,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",Yes
R306,Daily,Supply chain delays,<10%,No,"Yes, suggest similar models",No
R307,Weekly,Manufacturer limitations,>50%,No,"Yes, suggest similar models",Yes
R308,Weekly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R309,Rarely,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R310,Monthly,Supply chain delays,26-50%,No,No,No
R311,Weekly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R312,Rarely,Supply chain delays,<10%,Yes,"Yes, provide an option to order",Yes
R313,Monthly,Manufacturer limitations,<10%,No,"Yes, suggest similar models",Yes
R314,Monthly,Insufficient demand forecasting,<10%,Yes,No,Yes
R315,Daily,Insufficient demand forecasting,26-50%,No,"Yes, provide an option to order",Yes
R316,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R317,Weekly,Insufficient demand forecasting,<10%,No,"Yes, provide an option to order",Yes
R318,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R319,Weekly,Manufacturer limitations,26-50%,No,No,No
R320,Daily,Insufficient demand forecasting,>50%,Yes,"Yes, suggest similar models",No
R321,Weekly,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R322,Rarely,Manufacturer limitations,10-25%,No,"Yes, provide an option to order",Yes
R323,Rarely,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R324,Rarely,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R325,Weekly,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R326,Weekly,Manufacturer limitations,>50%,No,"Yes, suggest similar models",Yes
R327,Daily,Supply chain delays,26-50%,No,"Yes, suggest similar models",Yes
R328,Daily,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",Yes
R329,Daily,Supply chain delays,26-50%,Yes,"Yes, provide an option to order",Yes
R330,Weekly,Supply chain delays,26-50%,No,"Yes, provide an option to order",Yes
R331,Monthly,Manufacturer limitations,<10%,No,No,Yes
R332,Daily,Insufficient demand forecasting,>50%,Yes,"Yes, provide an option to order",Yes
R333,Weekly,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R334,Weekly,Insufficient demand forecasting,26-50%,No,No,Yes
R335,Monthly,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",No
R336,Weekly,Manufacturer limitations,26-50%,No,No,Yes
R337,Rarely,Supply chain delays,<10%,Yes,"Yes, suggest similar models",No
R338,Monthly,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R339,Daily,Insufficient demand forecasting,26-50%,Yes,"Yes, provide an option to order",Yes
R340,Weekly,Insufficient demand forecasting,<10%,No,"Yes, provide an option to order",Yes
R341,Monthly,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",Yes
R342,Daily,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",Yes
R343,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R344,Weekly,Insufficient demand forecasting,10-25%,Yes,"Yes, provide an option to order",Yes
R345,Daily,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R346,Daily,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",Yes
R347,Daily,Insufficient demand forecasting,<10%,No,"Yes, suggest similar models",No
R348,Daily,Other,26-50%,No,"Yes, provide an option to order",Yes
R349,Daily,Supply chain delays,10-25%,No,"Yes, provide an option to order",Yes
R350,Weekly,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R351,Weekly,Other,10-25%,Yes,"Yes, suggest similar models",Yes
R352,Weekly,Manufacturer limitations,<10%,No,No,No
R353,Weekly,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R354,Weekly,Other,>50%,No,"Yes, suggest similar models",Yes
R355,Rarely,Other,>50%,Yes,No,Yes
R356,Rarely,Other,10-25%,No,No,Yes
R357,Rarely,Supply chain delays,10-25%,No,"Yes, suggest similar models",No
R358,Weekly,Manufacturer limitations,<10%,No,No,No
R359,Monthly,Insufficient demand forecasting,26-50%,No,"Yes, suggest similar models",Yes
R360,Monthly,Supply chain delays,<10%,No,"Yes, provide an option to order",Yes
R361,Monthly,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R362,Monthly,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R363,Daily,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R364,Weekly,Insufficient demand forecasting,<10%,No,No,Yes
R365,Weekly,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R366,Monthly,Manufacturer limitations,<10%,Yes,No,No
R367,Weekly,Insufficient demand forecasting,26-50%,No,No,Yes
R368,Rarely,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R369,Weekly,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",Yes
R370,Weekly,Insufficient demand forecasting,<10%,Yes,No,Yes
R371,Weekly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R372,Rarely,Manufacturer limitations,26-50%,Yes,"Yes, suggest similar models",Yes
R373,Weekly,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R374,Rarely,Insufficient demand forecasting,26-50%,Yes,"Yes, provide an option to order",Yes
R375,Weekly,Insufficient demand forecasting,<10%,No,No,Yes
R376,Daily,Other,>50%,Yes,"Yes, provide an option to order",Yes
R377,Weekly,Insufficient demand forecasting,10-25%,No,No,Yes
R378,Weekly,Other,10-25%,Yes,"Yes, suggest similar models",No
R379,Weekly,Insufficient demand forecasting,>50%,No,"Yes, provide an option to order",Yes
R380,Daily,Manufacturer limitations,<10%,Yes,"Yes, provide an option to order",No
R381,Monthly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R382,Weekly,Supply chain delays,26-50%,Yes,"Yes, provide an option to order",Yes
R383,Weekly,Supply chain delays,26-50%,No,No,Yes
R384,Weekly,Manufacturer limitations,<10%,Yes,No,Yes
R385,Weekly,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R386,Monthly,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R387,Monthly,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R388,Daily,Insufficient demand forecasting,<10%,No,"Yes, provide an option to order",Yes
R389,Daily,Supply chain delays,10-25%,Yes,"Yes, provide an option to order",Yes
R390,Daily,Supply chain delays,10-25%,No,"Yes, suggest similar models",No
R391,Weekly,Other,<10%,Yes,"Yes, provide an option to order",Yes
R392,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",No
R393,Monthly,Manufacturer limitations,<10%,No,"Yes, provide an option to order",Yes
R394,Weekly,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R395,Monthly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R396,Daily,Insufficient demand forecasting,10-25%,Yes,"Yes, provide an option to order",No
R397,Weekly,Manufacturer limitations,26-50%,Yes,"Yes, suggest similar models",Yes
R398,Weekly,Supply chain delays,>50%,Yes,"Yes, suggest similar models",Yes
R399,Weekly,Insufficient demand forecasting,26-50%,No,"Yes, provide an option to order",Yes
R400,Monthly,Insufficient demand forecasting,>50%,Yes,"Yes, suggest similar models",Yes
R401,Weekly,Insufficient demand forecasting,<10%,Yes,"Yes, suggest similar models",Yes
R402,Weekly,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R403,Monthly,Supply chain delays,10-25%,No,No,No
R404,Monthly,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R405,Daily,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R406,Monthly,Manufacturer limitations,26-50%,Yes,"Yes, suggest similar models",No
R407,Daily,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R408,Weekly,Supply chain delays,10-25%,No,"Yes, suggest similar models",No
R409,Weekly,Manufacturer limitations,<10%,Yes,No,Yes
R410,Rarely,Insufficient demand forecasting,<10%,Yes,"Yes, suggest similar models",Yes
R411,Daily,Supply chain delays,26-50%,No,"Yes, suggest similar models",Yes
R412,Daily,Insufficient demand forecasting,>50%,No,"Yes, suggest similar models",Yes
R413,Monthly,Other,26-50%,Yes,No,Yes
R414,Weekly,Manufacturer limitations,26-50%,Yes,No,Yes
R415,Weekly,Insufficient demand forecasting,10-25%,No,No,Yes
R416,Daily,Other,<10%,Yes,"Yes, suggest similar models",No
R417,Weekly,Supply chain delays,<10%,No,No,Yes
R418,Weekly,Manufacturer limitations,26-50%,No,"Yes, provide an option to order",Yes
R419,Weekly,Insufficient demand forecasting,26-50%,Yes,"Yes, suggest similar models",Yes
R420,Monthly,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R421,Daily,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R422,Rarely,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",No
R423,Monthly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R424,Monthly,Insufficient demand forecasting,10-25%,Yes,"Yes, provide an option to order",No
R425,Rarely,Insufficient demand forecasting,10-25%,No,"Yes, suggest similar models",Yes
R426,Weekly,Insufficient demand forecasting,<10%,Yes,"Yes, suggest similar models",Yes
R427,Daily,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R428,Daily,Supply chain delays,10-25%,Yes,"Yes, provide an option to order",No
R429,Weekly,Supply chain delays,>50%,No,"Yes, provide an option to order",Yes
R430,Rarely,Manufacturer limitations,10-25%,Yes,No,No
R431,Weekly,Other,10-25%,Yes,"Yes, suggest similar models",Yes
R432,Weekly,Insufficient demand forecasting,<10%,No,No,No
R433,Monthly,Manufacturer limitations,10-25%,No,No,No
R434,Monthly,Supply chain delays,>50%,No,"Yes, suggest similar models",No
R435,Weekly,Manufacturer limitations,10-25%,No,"Yes, provide an option to order",Yes
R436,Monthly,Supply chain delays,10-25%,No,"Yes, provide an option to order",Yes
R437,Weekly,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R438,Daily,Insufficient demand forecasting,>50%,No,No,Yes
R439,Weekly,Insufficient demand forecasting,<10%,Yes,"Yes, suggest similar models",Yes
R440,Weekly,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",Yes
R441,Weekly,Other,10-25%,Yes,"Yes, suggest similar models",Yes
R442,Daily,Manufacturer limitations,>50%,No,"Yes, provide an option to order",No
R443,Weekly,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",Yes
R444,Weekly,Other,10-25%,Yes,No,Yes
R445,Monthly,Insufficient demand forecasting,<10%,No,"Yes, suggest similar models",Yes
R446,Monthly,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R447,Daily,Supply chain delays,<10%,No,"Yes, suggest similar models",Yes
R448,Daily,Supply chain delays,<10%,No,"Yes, provide an option to order",Yes
R449,Weekly,Supply chain delays,10-25%,No,No,No
R450,Weekly,Manufacturer limitations,26-50%,No,"Yes, suggest similar models",Yes
R451,Monthly,Insufficient demand forecasting,<10%,No,"Yes, suggest similar models",Yes
R452,Monthly,Insufficient demand forecasting,<10%,No,No,Yes
R453,Daily,Supply chain delays,10-25%,Yes,"Yes, provide an option to order",Yes
R454,Weekly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R455,Daily,Manufacturer limitations,>50%,Yes,"Yes, suggest similar models",No
R456,Rarely,Insufficient demand forecasting,10-25%,Yes,No,Yes
R457,Monthly,Insufficient demand forecasting,<10%,No,"Yes, suggest similar models",No
R458,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",No
R459,Daily,Supply chain delays,26-50%,Yes,"Yes, provide an option to order",Yes
R460,Weekly,Manufacturer limitations,10-25%,No,"Yes, provide an option to order",No
R461,Weekly,Other,<10%,No,"Yes, provide an option to order",Yes
R462,Daily,Other,>50%,Yes,No,Yes
R463,Daily,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R464,Weekly,Other,10-25%,No,"Yes, suggest similar models",Yes
R465,Daily,Manufacturer limitations,26-50%,No,"Yes, provide an option to order",No
R466,Rarely,Supply chain delays,10-25%,No,"Yes, provide an option to order",No
R467,Daily,Supply chain delays,26-50%,Yes,"Yes, suggest similar models",No
R468,Daily,Insufficient demand forecasting,26-50%,Yes,"Yes, provide an option to order",Yes
R469,Weekly,Supply chain delays,10-25%,Yes,"Yes, provide an option to order",Yes
R470,Monthly,Manufacturer limitations,<10%,Yes,"Yes, provide an option to order",Yes
R471,Daily,Supply chain delays,<10%,Yes,"Yes, provide an option to order",Yes
R472,Monthly,Manufacturer limitations,<10%,Yes,No,Yes
R473,Weekly,Insufficient demand forecasting,26-50%,Yes,No,Yes
R474,Daily,Supply chain delays,10-25%,No,"Yes, provide an option to order",Yes
R475,Daily,Insufficient demand forecasting,<10%,Yes,"Yes, provide an option to order",Yes
R476,Weekly,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R477,Daily,Supply chain delays,<10%,No,No,No
R478,Monthly,Insufficient demand forecasting,10-25%,No,"Yes, provide an option to order",Yes
R479,Daily,Supply chain delays,>50%,Yes,"Yes, provide an option to order",Yes
R480,Monthly,Other,<10%,No,"Yes, provide an option to order",Yes
R481,Weekly,Supply chain delays,>50%,Yes,"Yes, suggest similar models",Yes
R482,Weekly,Other,10-25%,Yes,"Yes, suggest similar models",Yes
R483,Daily,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R484,Daily,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R485,Daily,Manufacturer limitations,10-25%,Yes,"Yes, suggest similar models",No
R486,Weekly,Supply chain delays,<10%,No,"Yes, suggest similar models",Yes
R487,Monthly,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R488,Monthly,Manufacturer limitations,>50%,Yes,"Yes, suggest similar models",Yes
R489,Weekly,Supply chain delays,10-25%,Yes,No,Yes
R490,Daily,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R491,Monthly,Supply chain delays,10-25%,Yes,No,No
R492,Weekly,Manufacturer limitations,10-25%,No,"Yes, provide an option to order",No
R493,Daily,Manufacturer limitations,<10%,Yes,"Yes, provide an option to order",Yes
R494,Daily,Supply chain delays,26-50%,Yes,"Yes, provide an option to order",No
R495,Daily,Insufficient demand forecasting,26-50%,No,"Yes, suggest similar models",Yes
R496,Monthly,Manufacturer limitations,<10%,No,"Yes, suggest similar models",No
R497,Weekly,Manufacturer limitations,26-50%,Yes,No,Yes
R498,Weekly,Manufacturer limitations,10-25%,Yes,"Yes, provide an option to order",Yes
R499,Weekly,Manufacturer limitations,>50%,Yes,No,No
R500,Monthly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
